name	rgb	colorref
Scrollbar	192 192 192	02C0C0C0
Background	0 128 128	02808000
ActiveTitle	0 0 128	00800000
InactiveTitle	128 128 128	00808080
Menu	192 192 192	02C0C0C0
Window	255 255 255	02FFFFFF
WindowFrame	0 0 0	02000000
MenuText	0 0 0	02000000
WindowText	0 0 0	02000000
TitleText	255 255 255	02FFFFFF
ActiveBorder	192 192 192	02C0C0C0
InactiveBorder	192 192 192	02C0C0C0
AppWorkSpace	128 128 128	02808080
Hilight	0 0 128	02800000
HilightText	255 255 255	02FFFFFF
ButtonFace	192 192 192	02C0C0C0
ButtonShadow	128 128 128	02808080
GrayText	128 128 128	02808080
ButtonText	0 0 0	02000000
InactiveTitleText	192 192 192	02C0C0C0
ButtonHilight	255 255 255	02FFFFFF
ButtonDkShadow	0 0 0	02000000
ButtonLight	223 223 223	02DFDFDF
InfoText	0 0 0	02000000
InfoWindow	255 255 225	00E1FFFF
ButtonAlternateFace	181 181 181	00B5B5B5
HotTrackingColor	0 0 255	00FF0000
GradientActiveTitle	0 0 128	00800000
GradientInactiveTitle	128 128 128	00808080
